smiles_list,Drug_ID,Drug Name,distance_to_cluster_centriod
CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,SmallMolecule_295,Colfosceril,0.033375010602709754
COCCNC(=O)CN(CCN(CCN(CC(=O)NCCOC)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-],SmallMolecule_552,Gadoversetamide,0.038060338843640795
CCOP(=O)(C(C)NC(=O)N(CCCl)N=O)OCC,SmallMolecule_542,Fotemustine,0.03953048186913288
CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O,SmallMolecule_327,Deferoxamine,0.042409604894416475
CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,SmallMolecule_790,Miltefosine,0.04364109118957438
CCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C,SmallMolecule_1004,Propionyllcarnitine,0.04459431299234684
CC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C,SmallMolecule_13,Acetyllcarnitine,0.04513945759594318
CCCCN1C[C@@H]([C@H]([C@@H]([C@H]1CO)O)O)O,SmallMolecule_787,Miglustat,0.04941628675685117
C(CCCNC(=N)N)CCC(=O)NC(C(=O)NCCCCNCCCN)O,SmallMolecule_578,Gusperimus,0.04974081307489131
C1[C@@H]([C@@H]([C@H]([C@@H]([C@]1(CO)O)O)O)O)NC(CO)CO,SmallMolecule_1316,Voglibose,0.05034223398115223
CN(C(=O)N[C@@H]1[C@H]([C@@H]([C@H](OC1O)CO)O)O)N=O,SmallMolecule_1143,Streptozocin,0.050637747990313176
CC(C)(CCCCCC(CCCCCC(C)(C)C(=O)O)O)C(=O)O,SmallMolecule_132,Bempedoic,0.053157593263898795
CC1(O[C@@H]2CO[C@@]3([C@H]([C@@H]2O1)OC(O3)(C)C)COS(=O)(=O)N)C,SmallMolecule_1231,Topiramate,0.05497388945212356
C(CN)CNCCSP(=O)(O)O,SmallMolecule_55,Amifostine,0.056056028084072174
C[C@H]([C@@H]1CC[C@H]([C@H](O1)O[C@@H]2[C@H](C[C@H]([C@@H]([C@H]2O)O[C@@H]3[C@@H]([C@H]([C@@](CO3)(C)O)NC)O)N)N)N)N,SmallMolecule_562,Gentamicin,0.0562361556068367
C1CSS[C@@H]1CCCCC(=O)O,SmallMolecule_90,Arlipoic,0.05629714907466532
C1[C@@H]2C[C@@H]2N([C@@H]1C#N)C(=O)[C@H]([C@@]34C[C@H]5C[C@@H](C3)C[C@](C5)(C4)O)N,SmallMolecule_1099,Saxagliptin,0.05720110315906324
CCCN[C@H]1CCc2c(sc(n2)N)C1,SmallMolecule_991,Pramipexole,0.05721787916070409
CCCCCCC(=O)OCC(COC(=O)CCCCCC)OC(=O)CCCCCC,SmallMolecule_1256,Triheptanoin,0.05815379836665857
C1C[C@H](N(C1)C(=O)CN[C@@]23C[C@H]4C[C@@H](C2)C[C@](C4)(C3)O)C#N,SmallMolecule_1308,Vildagliptin,0.05836450334573717
CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O,SmallMolecule_594,Ibandronic,0.05997934891600998
c1cn(cn1)CC(O)(P(=O)(O)O)P(=O)(O)O,SmallMolecule_1337,Zoledronic,0.06001002545555956
C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],SmallMolecule_875,Nitroglycerin,0.061968200114949634
CC(=CCC/C(=C/CC/C(=C/CC/C(=C/CCC(=O)C)/C)/C)/C)C,SmallMolecule_1195,Teprenone,0.062120646741735785
CCCCCCCCCCCCCC(=O)O[Pt]OC(=O)CCCCCCCCCCCCC,SmallMolecule_795,Miriplatin,0.06313600033145317
COP(=O)(C(C(Cl)(Cl)Cl)O)OC,SmallMolecule_775,Metrifonate,0.06459059824780022
C(CN(CC(=O)[O-])CC(=O)[O-])N(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-],SmallMolecule_949,Pentetate,0.0668216729613832
C1CCCC(CC1)NC(P(=O)(O)O)P(=O)(O)O,SmallMolecule_617,Incadronic,0.06716028656060136
C(CCl)NC(=O)N(CCCl)N=O,SmallMolecule_983,Polifeprosan,0.06831123207245526
C1[C@@H]([C@H]([C@@H]([C@H](N1CCO)CO)O)O)O,SmallMolecule_786,Miglitol,0.06995450002649528
C1C(=O)O[Fe]2OC(=O)CC1(C(=O)O2)O,SmallMolecule_499,Ferric,0.07295764513397018
CC(CC(CC(CC(CC(C)C(=O)O)C(=O)O)CC(C(CC(CC(CC(C)C(=O)O)C(=O)O)CC(CC(C)C(=O)O)C(=O)O)O)O)C(=O)O)C(=O)O,SmallMolecule_197,Calcium,0.07312374556130108
CS(=O)(=O)OC[C@@H]([C@H](COS(=O)(=O)C)O)O,SmallMolecule_1247,Treosulfan,0.07659152959639937
CCCCCCCCCCCCCCCCCC(=O)O,SmallMolecule_455,Erythromycin,0.07798004953696525
C1CNP(=O)(OC1)N(CCCl)CCCl,SmallMolecule_304,Cyclophosphamide,0.07862679157608932
C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)N)O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)CN)O)N)N,SmallMolecule_1223,Tobramycin,0.08167847798888084
CC(=C)[C@@H]1CC[C@@]([C@@H](C1)C(=C)C)(C)C=C,SmallMolecule_144,Betaelemene,0.08355988208569465
C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@H](CO)O)O)O)O)O)O,SmallMolecule_652,Lactitol,0.08564334480591285
C(CN(CP(=O)([O-])[O-])CP(=O)([O-])[O-])N(CP(=O)([O-])[O-])CP(=O)([O-])[O-],SmallMolecule_1092,Samarium153sm,0.08957545743144235
C=CCN1CCc2c(sc(n2)N)CC1,SmallMolecule_1164,Talipexole,0.08990056865306895
C[C@H]1C(=O)O[Pt]O1,SmallMolecule_704,Lobaplatin,0.09209113798209412
C1CC2(C1)C(=O)O[Pt]OC2=O,SmallMolecule_210,Carboplatin,0.09537576715294271
C(CCC(O)(P(=O)(O)O)P(=O)(O)O)CCN,SmallMolecule_854,Neridronic,0.09750848841369797
C(CN)C(O)(P(=O)([O-])[O-])P(=O)([O-])[O-],SmallMolecule_930,Pamidronate,0.09913107920001119
CS(=O)(=O)OCCCCOS(=O)(=O)C,SmallMolecule_185,Busulfex,0.10449149016581727
CC(O)(P(=O)(O)O)P(=O)(O)O,SmallMolecule_465,Etidronic,0.10653848002409905
C1C(=O)O[Pt]O1,SmallMolecule_845,Nedaplatin,0.10742050891950528
C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,SmallMolecule_33,Alendronate,0.11181943307639075
CCCCCCCCCCCCCCCCCCCCCCO,SmallMolecule_1011,Pygeum,0.11859715596846387
C(P(=O)(O)O)(P(=O)(O)O)(Cl)Cl,SmallMolecule_282,Clodronic,0.13798496793592063
C(OC(C(F)(F)F)C(F)(F)F)F,SmallMolecule_1112,Sevoflurane,0.1464989453411526
CN(C)c1nc(nc(n1)N(C)C)N(C)C,SmallMolecule_46,Altretamine,0.15839184429330155
