smiles_list,Drug_ID,Drug Name,distance_to_cluster_centriod
CCCC(=O)Nc1c2c(ncn1)n(cn2)[C@H]3[C@@H]([C@H]4[C@H](O3)COP(=O)(O4)O)OC(=O)CCC,SmallMolecule_175,Bucladesine,0.018754841742661954
CCCCCOC(=O)Nc1c(cn(c(=O)n1)[C@H]2[C@@H]([C@@H]([C@H](O2)C)O)O)F,SmallMolecule_203,Capecitabine,0.02017683367764589
CC(=O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2ccc(=O)[nH]c2=O)OC(=O)C)OC(=O)C,SmallMolecule_1282,Uridine,0.02021296264554051
CC(C)C(=O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2ccc(nc2=O)NO)O)O,SmallMolecule_814,Molnupiravir,0.020252183102892007
C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O,SmallMolecule_25,Ademetionine,0.022907874516822413
C[N+](C)(C)CCOP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2ccc(nc2=O)N)O)O,SmallMolecule_273,Citicoline,0.02357574027102627
c1[nH]c2c(c(=O)n1)ncn2[C@H]3CC[C@H](O3)CO,SmallMolecule_358,Didanosine,0.024167065490069417
CSCCNc1c2c(nc(n1)SCCC(F)(F)F)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(C(P(=O)(O)O)(Cl)Cl)O)O)O,SmallMolecule_201,Cangrelor,0.025112406271633025
c1cn(c(=O)nc1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F,SmallMolecule_558,Gemcitabine,0.025293602177264174
CCC[C@@H]1CC(=O)N(C1)[C@@H](CC)C(=O)N,SmallMolecule_170,Brivaracetam,0.02550333689972084
CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,SmallMolecule_801,Mitomycin,0.02561233766841775
CCCCCCCCCCCCCCCCCCOP(=O)(O)OC[C@@H]1[C@H]([C@@H]([C@@H](O1)n2ccc(nc2=O)N)O)O,SmallMolecule_306,Cytarabine,0.025687824123287517
CC(C)[C@@H](C(=O)OCCOCn1cnc2c1[nH]c(nc2=O)N)N,SmallMolecule_1285,Valaciclovir,0.025930202264349722
C[C@@H]1CC[C@@]23CCC(=O)[C@H]2[C@@]1([C@@H](C[C@@]([C@H]([C@@H]3C)O)(C)C=C)OC(=O)CS[C@@H]4CC[C@H](C[C@H]4O)N)C,SmallMolecule_668,Lefamulin,0.025948846509248225
