smiles_list,Drug_ID,Drug Name,distance_to_cluster_centriod
CN[C@H]1CC[C@H](c2c1cccc2)c3ccc(c(c3)Cl)Cl,SmallMolecule_1110,Sertraline,0.024608796797023436
CNCc1cc(n(c1)S(=O)(=O)c2cccnc2)c3ccccc3F,SmallMolecule_1317,Vonoprazan,0.02465389006567109
c1cc(cc(c1)Cl)c2cc(c(nc2)C(=O)NCC(=O)O)O,SmallMolecule_1284,Vadadustat,0.0247559422391036
CCC(=O)NS(=O)(=O)c1ccc(c(c1)Cl)NC(=O)Cc2ccc(c(c2F)Oc3cc(cc(c3)Cl)C#N)Br,SmallMolecule_418,Elsulfavirine,0.02513453674421362
CN1CCC(=C2c3ccccc3CCn4c2ncc4C=O)CC1,SmallMolecule_31,Alcaftadine,0.02526837117977998
c1c(nc[nH]1)C[C@H]2C(=O)O[Zn]N2C(=O)CCN,SmallMolecule_982,Polaprezinc,0.025401127387617906
c1ccnc(c1)C2=NCC(=O)Nc3c2cc(cc3)Br,SmallMolecule_171,Bromazepam,0.02554165385795415
Cn1c(n[nH]c1=O)Cn2ccc(c(c2=O)Oc3cc(cc(c3)Cl)C#N)C(F)(F)F,SmallMolecule_380,Doravirine,0.025732278707150558
C[C@H]1CNCCCN1S(=O)(=O)c2cccc3c2c(cnc3)F,SmallMolecule_1062,Ripasudil,0.02580810280939161
CC(C)(C)c1nc(c(s1)c2ccnc(n2)N)c3cccc(c3F)NS(=O)(=O)c4c(cccc4F)F,SmallMolecule_308,Dabrafenib,0.02611068051486032
c1ccc(c(c1)c2nc(n(n2)c3ccc(cc3)C(=O)O)c4ccccc4O)O,SmallMolecule_325,Deferasirox,0.02629842009650485
c1ccc2c(c1)N(CS2(=O)=O)C(=O)c3cc(c(c(c3)Cl)O)Cl,SmallMolecule_384,Dotinurad,0.026676750416048778
Cc1c(cn(c1c2ccccc2C(F)(F)F)CCO)C(=O)Nc3ccc(cc3)S(=O)(=O)C,SmallMolecule_456,Esaxerenone,0.026866771390997246
CCOC(=O)OC(C)OC1=C(N(S(=O)(=O)c2c1cccc2)C)C(=O)Nc3ccccn3,SmallMolecule_67,Ampiroxicam,0.027320738359417063
CS(=O)(=O)c1ccc(c(c1)Cl)C(=O)Nc2ccc(c(c2)c3ccccn3)Cl,SmallMolecule_1314,Vismodegib,0.02770672377047745
CN1C(=C(c2c(cc(s2)Cl)S1(=O)=O)O)C(=O)Nc3ccccn3,SmallMolecule_718,Lornoxicam,0.02818363115257183
c1cc(oc1)CNc2cc(c(cc2C(=O)O)S(=O)(=O)N)Cl,SmallMolecule_547,Furosemide,0.02871200896497661
c1cc(cnc1)/C=C/C(=O)NCc2ccc(cc2)C(=O)Nc3ccc(cc3N)F,SmallMolecule_1266,Tucidinostat,0.02882944405770127
CN1CC(=O)N2[C@@H](C1=O)Cc3c4ccccc4[nH]c3[C@H]2c5ccc6c(c5)OCO6,SmallMolecule_1158,Tadalafil,0.028894146407875687
CS(=O)(=O)n1cc2c(n1)CN(C2)[C@@H]3C[C@@H]([C@H](OC3)c4cc(ccc4F)F)N,SmallMolecule_898,Omarigliptin,0.02897921114095925
